"Name","Nume"
"Phone number","Număr de telefon"
"Email Address","Adresă de e-mail"
"Message","Mesaj"
"Send","Trimite"
"Company name","Numele companiei"
"HQ Location","Locație sediu"
"Agent name","Nume reprezentant"
"Company Specifics","Specificul companiei"
